date,week,class,price
2017,21,H,33413
2017,21,M,19021
2017,22,H,34540
2017,22,M,20759
2017,23,H,35188
2017,23,M,22247
2017,24,H,36493
2017,24,M,23371
2017,25,H,37806
2017,25,M,24942
2017,26,H,38826
2017,26,M,29721
2017,27,H,38897
2017,27,M,30690
2017,28,H,38872
2017,28,M,30528
2017,29,H,39021
2017,29,M,29743
2017,30,H,39174
2017,30,M,29874
2017,31,H,38847
2017,31,M,30114
2017,32,H,38596
2017,32,M,30053
